"Provider Name","NPI","Degree","Address","City","County","State","Zip","Contact numbers","Office Email Address","Specialties","Enrollment ID","Medical groups","Telemedicine","Accreditation Type(s)","Office Hours","Accessibility Indicators","Office Staff Languages","Cultural Competency Facility",,
"Alhambra Hospital Medical Center","1770612756","","100 South Raymond Avenue","ALHAMBRA","LOS ANGELES","CA","91801","(626) 570-1606","","","","","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R, T(Self-Reported)","","N"
"AHMC Anaheim Regional Medical Center LP","1891938122","","1111 W La Palma Ave","ANAHEIM","ORANGE","CA","92801","(714) 774-1450","","","","","","The Joint Commission","24 hrs/day, 7 days/week","","","N"
"USC Arcadia Hospital","1164410593","","300 W HUNTINGTON DR","ARCADIA","LOS ANGELES","CA","91007","(626) 898-8000","","","","","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R, T(Self-Reported)","","Y"
"Sutter Auburn Faith Hospital","1194774299","","11815 Education Street","AUBURN","PLACER","CA","95602","(530) 888-4500","","","","","","The Joint Commission","24 hrs/day, 7 days/week","","","N"
"Bear Valley Community Healthcare District","1073553756","","41870 Garstin Drive","BIG BEAR LAKE","SAN BERNARDINO","CA","92315","(909) 866-6501","","","","","","None","","","","N"
"Southern California Hospital at Culver City","1487905725","","3828 Delmas Terrace","CULVER CITY","LOS ANGELES","CA","90232","(310) 836-7000","","","","","","Healthcare Inc DNV","24 hrs/day, 7 days/week","P, EB, IB, R, T(Self-Reported)","","N"
"California Hospital Medical Center","1114081056","","1401 South Grand Avenue","LOS ANGELES","LOS ANGELES","CA","90015","(213) 748-2411","","","","CEP America - California","","The Joint Commission","24 hrs/day, 7 days/week","","","N"
"California Hospital Medical Center","1114081056","","1401 South Grand Avenue","LOS ANGELES","LOS ANGELES","CA","90015","(213) 748-2411","","","","","","The Joint Commission","24 hrs/day, 7 days/week","","","N"
"Centinela Hospital Medical Center","1336328244","","555 E. Hardy St.","INGLEWOOD","LOS ANGELES","CA","90301","(310) 673-4660, (310) 673-4660","","","","","","The Joint Commission","24 hrs/day, 7 days/week","","","N"
"Chapman Global Medical Center","1427041110","","2601 East Chapman Avenue","ORANGE","ORANGE","CA","92869","(714) 633-0011","","","","","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R, T(Self-Reported)","","Y"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","La Maestra Family Clinic - City Heights","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","La Maestra Medical Clinic - Broadway","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","La Maestra Medical Clinic - First Street","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","La Maestra Medical Clinic - National City","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","Rady Children's Health Network","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","UCSD MEDICAL GROUP","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","VISTA COMMUNITY CLINIC - DURIAN SENIOR ADULT CARE","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","VISTA COMMUNITY CLINIC - FALLBROOK PEDIATRICS","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","Vista Community Clinic - Durian - FFS","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
"Rady Children's Hospital - San Diego","1710065933","","3020 Children's Way, PMB 5099","SAN DIEGO","SAN DIEGO","CA","92123","(858) 576-1700","","","","Vista Community Clinic - Grapevine - FFS","","The Joint Commission","24 hrs/day, 7 days/week","P, EB, IB, R(Verified)","Spanish","N"
